date_suggested,symbol,type,strike,expiration,contracts_suggested,total_premium_suggested,price_at_suggestion,recommendation,thesis,executed,execution_details,date_resolved,outcome,realized_pnl,verdict,score_total,score_a,score_b,score_c,score_d,score_e,score_f
2026-07-05,ORCL,put,130,2026-08-21,2,1456,140.29,sell,below 52wk low - rare entry after selloff,variant,filled 2026-07-02: $120 strike 2 ctr $260 premium exp 2026-07-31,,,,,,,,,,,
2026-07-05,MSFT,put,360,2026-08-21,1,,389.65,sell,lands at 52wk low after pullback - optional,no,,,,,,,,,,,,
2026-07-05,SOFI,put,15,2026-08-21,5,250,18.26,sell,below 52wk low but P/E 41x - growth bet not value,no,,,,,,,,,,,,
2026-07-05,NKE,put,42.5,2026-08-21,2,308,44.08,sell,at 52wk low plus 3.7% dividend,no,,,,,,,,,,,,
2026-07-05,BX,put,115,2026-08-21,2,920,122.76,sell,close to 52wk low plus 4.0% dividend,no,,,,,,,,,,,,
2026-07-05,BULL,put,5,2026-08-21,1,,7.16,sell,at 52wk low but loss-making - optional,no,,,,,,,,,,,,
2026-07-05,SLG,put,50,2026-08-21,3,669,53.46,sell,mid-range - appeal is 4.7% dividend not price,variant,filled 2026-07-06: $40 strike 5 ctr $250 premium exp 2026-08-21,,,,,,,,,,,
2026-07-05,TSM,put,400,2026-08-21,1,,434.45,sell,well above 52wk low - paying up - capped 1 ctr,no,,,,,,,,,,,,
2026-07-05,UBER,put,65,2026-08-21,0,,74.43,skip,below 52wk low but stacking risk near existing $68 put,no,,,,,,,,,,,,
2026-07-05,SPG,put,210,2026-08-21,0,,226.09,skip,near 52wk high - paying up,no,,,,,,,,,,,,
2026-07-05,O,put,60,2026-08-21,0,,63.83,skip,not a discount - thin yield,no,,,,,,,,,,,,
2026-07-05,BRK.B,put,480,2026-08-21,0,,507.33,skip,low yield reflects low IV,no,,,,,,,,,,,,
2026-07-05,RC,put,1.5,2026-08-21,0,,1.79,skip,broken quote bid $0 - not tradable,no,,,,,,,,,,,,
2026-07-05,BX,call,165,2026-08-21,1,18,122.76,sell,deepest OTM - basically free money on held shares,no,,,,,,,,,,,,
2026-07-05,NKE,call,60,2026-08-21,10,100,44.08,sell,matches TSM $600c reference almost exactly,no,,,,,,,,,,,,
2026-07-05,UBER,call,100,2026-08-21,6,147,74.43,sell,34% above current price - tax-neutral,no,,,,,,,,,,,,
2026-07-05,MSFT,call,525,2026-08-21,2,270,389.65,sell,tax-favorable loss position - pure upside,no,,,,,,,,,,,,
2026-07-05,TSM,call,590,2026-08-21,1,332.5,434.45,sell,very safe but embedded gain still ~$1829 tax-adj risk at 6% odds,no,,,,,,,,,,,,
2026-07-05,ORCL,call,190,2026-08-21,3,483,140.29,sell,tax-favorable loss position,no,,,,,,,,,,,,
2026-07-05,SOFI,call,25,2026-08-21,15,435,18.26,sell,fine tax-neutral - not full 45 ctr capacity,no,,,,,,,,,,,,
2026-07-05,BULL,call,10,2026-08-21,20,270,7.16,sell,tax-neutral small name - not full 100 ctr capacity,no,,,,,,,,,,,,
