criterion_id,category,test_ticker,fetch_method_tried,alternative_tried_if_first_failed,status,sample_value_for_nvda,notes
a1_pctoffhigh,A,NVDA,"get_equity_fundamentals(NVDA) -> high_52_weeks=236.54, current price=197.25",none needed,VERIFIED_FETCHABLE,"16.6% off high ((236.54-197.25)/236.54)",First try worked. No scan filter exists for this - always a per-candidate compute step after the scan.
a2_rsi,A,NVDA,"scan filter FILTER_TYPE_RSI, interval=1d, length=14 (test scan, mkt cap>$1T)",none needed,VERIFIED_FETCHABLE,43.54,First try worked.
a3_williams,A,NVDA,"scan filter FILTER_TYPE_WILLIAMS_PERCENT_RANGE, interval=1d, length=14",none needed,VERIFIED_FETCHABLE,-70.53,First try worked.
a4_stochastic,A,NVDA,"get_equity_historicals(NVDA, ~44 daily bars back to 2026-05-01) -> compute %K=(Close-Lowest Low(14))/(Highest High(14)-Lowest Low(14))*100 client-side in Python",none needed,VERIFIED_FETCHABLE,23.77,"FIRST ATTEMPT WORKED. This is one of the 6 criteria that sat 'COMPUTABLE FROM HISTORICALS - NOT YET IMPLEMENTED' for weeks - the data fetch and calc both worked cleanly the first time they were actually tried. The gap was never fetchability, it was that nobody had written the ~10 lines of code."
a5_bollinger,A,NVDA,"get_equity_historicals(NVDA, same 44 bars) -> 20-day SMA and stdev of Close, lower band=SMA-2*stdev, client-side Python",none needed,VERIFIED_FETCHABLE,"SMA=202.33 upper=214.02 lower=190.64 (close=195.55, not below lower band)","First attempt worked. Same historicals pull reused for a4/a5/a6/c18/c22/c23 - one fetch, six criteria."
a6_support,A,NVDA,get_equity_historicals(NVDA) -> trailing 20-day low as the support-level approximation,none needed,VERIFIED_FETCHABLE,"20d low=189.80 (close=195.55, not at/below support)",First attempt worked. Support is inherently a chosen heuristic (documented as trailing-N-day low here) rather than one universal formula - see rubric.md note.
a7_peg_lt1,A,NVDA,"scan filter FILTER_TYPE_PEG (test scan, mkt cap>$1T)",none needed,VERIFIED_FETCHABLE,0.314637,"First try worked. Previously flagged 'mechanism verified / not wired up' because it wasn't in the live turnaround scan's filter set - now confirmed with a real NVDA value via a direct test."
a8_cyclical_judgment,A,NVDA,get_equity_fundamentals(NVDA) -> sector field,none needed,JUDGMENT_NOT_FETCH,"sector=Electronic Technology, industry=Semiconductors","Input data fetchable and confirmed; the judgment call itself (cyclical vs structural) needs real reasoning per candidate, not a fetch."
b9_mktcap,B,NVDA,get_equity_fundamentals(NVDA) -> market_cap,none needed,VERIFIED_FETCHABLE,"$4.844T",First try worked.
b10_grossmargin,B,NVDA,"scan filter FILTER_TYPE_GROSS_MARGIN",none needed,VERIFIED_FETCHABLE,0.710681,"First try worked. Previously 'LIKELY WORKING - NOT DIRECTLY TESTED' - now actually tested with a real value."
b11_opmargin,B,NVDA,scan filter FILTER_TYPE_OPERATING_MARGIN,none needed,VERIFIED_FETCHABLE,0.603817,First try worked.
b12_netmargin,B,NVDA,"n/a - retired as a scored criterion 2026-07-07, now a Stage-0 gate",n/a,GATE_NOT_SCORED,n/a,"Not part of this verification pass's scope - see rubric.md Gates section. The underlying data (Net profit margin) is trivially fetchable and was confirmed working repeatedly this session at the scan level."
b13_roe,B,NVDA,scan filter FILTER_TYPE_RETURN_ON_EQUITY,none needed,VERIFIED_FETCHABLE,1.014851,First try worked.
b14_roa,B,NVDA,scan filter FILTER_TYPE_RETURN_ON_ASSETS,none needed,VERIFIED_FETCHABLE,0.75418,"First try worked. Previously 'LIKELY WORKING - NOT DIRECTLY TESTED' - now actually tested."
b15_dividend,B,NVDA,get_equity_fundamentals(NVDA) -> dividend_yield non-null check,none needed,VERIFIED_FETCHABLE,0.143186,First try worked.
b16_epstrend,B,NVDA,"get_earnings_results(NVDA) -> trailing quarters' actual EPS, compare last 2-4",none needed,VERIFIED_FETCHABLE,"actual EPS 0.89->0.96->1.04->1.30->1.62->1.87, improving every quarter","First try worked. 8 quarters returned, 6 with actual values."
b17_leverage_judgment,B,NVDA,get_equity_fundamentals(NVDA) -> pb_ratio as indirect proxy,none needed,JUDGMENT_NOT_FETCH,pb_ratio=24.23,"No direct leverage/debt filter exists anywhere in the scanner-filter-spec (checked previously). Proxy input confirmed available; judgment-only by design, not a fetch gap."
c18_macd,C,NVDA,"get_equity_historicals(NVDA) -> EMA(12)/EMA(26) crossover, MACD line=EMA12-EMA26, signal=EMA(MACD,9), histogram=MACD-signal, client-side Python. Checked for a sign-flip in the trailing ~10 sessions.",none needed,VERIFIED_FETCHABLE,"histogram=-0.784 (last value), no positive crossover in trailing 10 sessions -> correctly scores 0","First attempt worked. NOTE: the scanner's own FILTER_TYPE_MACD snapshot filter also returned a value (-2.66) but does NOT match standard 12/26/9 MACD parameters (it takes a single 'length=14' param, not three) - the two are measuring different things. Use the historicals-based client-side calc for this criterion, not the scanner filter, since the criterion needs an actual trend/crossover, not a same-day snapshot under an unclear parameterization."
c19_ema,C,NVDA,"scan filter FILTER_TYPE_EMA, interval=1d, length=50, compared to Last",none needed,VERIFIED_FETCHABLE,"EMA(50)=206.26, Last=197.25 -> price below EMA, not reclaimed -> scores 0",First try worked.
c20_aroon,C,NVDA,scan filter FILTER_TYPE_AROON_OSCILLATOR,none needed,VERIFIED_FETCHABLE,-72,"First try worked as a SNAPSHOT value. Criterion wording asks for 'turned positive' (a trend) - snapshot-vs-trend gap still exists here (same as before), not re-solved in this pass. Snapshot is a legitimate proxy, just not identical to a true trend detector."
c21_adx,C,NVDA,scan filter FILTER_TYPE_AVERAGE_DIRECTIONAL_INDEX,none needed,VERIFIED_FETCHABLE,19.19,"First try worked as a SNAPSHOT value. Same snapshot-vs-'rising trend' gap as c20 - not re-solved in this pass, flagged as a known minor limitation, not a fetchability failure."
c22_relvol,C,NVDA,"get_equity_historicals(NVDA) -> today's volume / trailing-30-day average volume, plus close>open check for 'up day', client-side Python",none needed,VERIFIED_FETCHABLE,"relvol=0.656, was an up day=True","First attempt worked. Confirms the scanner's own FILTER_TYPE_RELATIVE_VOLUME (flagged unreliable elsewhere - returns constant 1.0) should be abandoned in favor of this client-side calc, which gives real varying values."
c23_rsirecross,C,NVDA,"get_equity_historicals(NVDA) -> Wilder's RSI(14) computed across the full 44-bar series, scan for a below-30-then-above-30 crossover event",none needed,VERIFIED_FETCHABLE,"RSI never dipped below 30 in this window -> correctly scores 0/no-signal (not N/A)","First attempt worked. Confirms the calc logic is sound even when the answer is 'no event happened' - that's a real computed 0, not a gap."
d24_epsbeat,D,NVDA,"get_earnings_results(NVDA) -> most recent quarter's actual vs estimate EPS",none needed,VERIFIED_FETCHABLE,"actual=1.87 vs estimate=1.76 -> beat -> scores 3",First try worked. Same call reused for b16.
d25_noearnings2wk,D,NVDA,get_earnings_results(NVDA) -> next entry with actual=null and its report.date,"get_earnings_calendar(days=14, filter=high_market_cap) as a market-wide alternative",VERIFIED_FETCHABLE_AFTER_RETRY,"next earnings 2026-08-26, well beyond 2 weeks -> scores 2","get_earnings_results alone answered this fine for NVDA specifically on the first try. Separately tested get_earnings_calendar(days=14) UNFILTERED and it overflowed the token limit (58k+ chars) - retried with filter=high_market_cap and got a clean, reasonably-sized response. Document: always pass filter=high_market_cap for a broad market-wide earnings-calendar pull, or scope to days<=7, to avoid the overflow."
d26_tailwind_judgment,D,NVDA,get_equity_fundamentals(NVDA) -> sector field,none needed,JUDGMENT_NOT_FETCH,sector=Electronic Technology,Input fetchable; judgment call is real reasoning per candidate.
d27_catalyst_judgment,D,NVDA,get_equity_fundamentals(NVDA) -> description field,none needed,JUDGMENT_NOT_FETCH,"1200+ character company description confirmed present",Input fetchable; judgment call (real inflection point or not) needs actual reading plus optionally WebSearch for recent news - not mechanizable.
d28_pegroe_combo,D,NVDA,"scan columns FILTER_TYPE_PEG + FILTER_TYPE_RETURN_ON_EQUITY (both already active on the compounder scan)",none needed,VERIFIED_FETCHABLE,"PEG=0.314637 ROE=1.014851 -> both clear -> scores 3","First try worked - directly computable from the compounder archetype's own scan columns, no extra fetch."
e29_liquidity,E,NVDA,"get_equity_fundamentals(NVDA) -> average_volume, float, compute turnover",none needed,VERIFIED_FETCHABLE,"average_volume=147.18M, float=23.27B -> turnover ~0.63%",First try worked.
e30_not_concentrated,E,NVDA,get_equity_positions(account_number) cross-checked against candidate ticker,NOT RE-TESTED THIS PASS,JUDGMENT_NOT_FETCH,n/a,"Not tested against NVDA in this pass - get_equity_positions requires a real account_number, and fetching one just to test connectivity is out of scope for an abstract one-ticker rubric-verification exercise. Already established as reliable elsewhere in this repo (portfolio-report skill uses it routinely) and confirmed working in practice during today's steady_value run (UBER/SPG correctly flagged as already-held). Classified here as fetchable-but-not-reverified, not a gap."
e31_iv_extreme,E,NVDA,"scan filter FILTER_TYPE_HISTORICAL_VOLATILITY (interval=1d, length=30) AND FILTER_TYPE_IMPLIED_VOLATILITY (interval=1d, length=30)",none needed,VERIFIED_FETCHABLE,"HV=0.3387, IV=0.3864",Both HV and IV confirmed working on the first try. IV was previously untested - now confirmed with a real NVDA value.
e32_fitstyle_judgment,E,NVDA,n/a - no fetch by design,n/a,JUDGMENT_NOT_FETCH,n/a,"Final holistic synthesis judgment made after seeing everything else - intentionally has no data source. Not a gap."
b33_domainleadership_judgment,B/GATE,NVDA,"get_equity_fundamentals(NVDA) -> description/sector/industry as starting input; WebSearch as a fallback for genuine uncertainty",none needed,JUDGMENT_NOT_FETCH,"description, sector=Electronic Technology, industry=Semiconductors all confirmed present","Gate, not a scored criterion (see rubric.md Gates section). Input data fetchable; the competitive-position call itself needs real judgment (trivially 'dominant #1/#2' for NVDA, but that's not always this obvious)."
